Food,Disease,Status,Reason,Biomarker,Curing/Alternative Foods
Hot dog,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ice cream (soft serve),Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ice cream (soft serve),Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ice cream (soft serve),Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ice cream (soft serve),Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ice cream (soft serve),Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Pumpkin, Ladyfinger (Okra/Bhindi), Swiss chard"
Ice cream (soft serve),Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Jackfruit,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Oats, Brown rice, Farro"
Jackfruit,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Jackfruit,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Jackfruit,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Jackfruit,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Jackfruit,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Jam,Diabetes,Avoid,Very high in sugar,Blood Glucose,"Recommended instead: Teff, Farro, Raspberry"
Jam,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Jam,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Jam,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Jam,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Jam,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Jelly,Diabetes,Avoid,Very high in sugar,Blood Glucose,"Recommended instead: Wild rice, Farro, Buckwheat"
Jelly,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Jelly,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Jelly,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Jelly,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Jelly,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Kale,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Kale,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Kale,Hypertension,Good,"Rich in beneficial compounds (nitrates, etc.)",Blood Pressure,This food is recommended for this condition
Kale,Kidney Disease,Avoid,High in potassium,Potassium,Consult nutritionist for alternatives
Kale,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Kale,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Kebab,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Kebab,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Kebab,Hypertension,Avoid,High in sodium,Blood Pressure,"Recommended instead: Arugula, Salmon, Kale"
Kebab,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Kebab,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Sweet potato, Leek, Arugula"
Kebab,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ketchup,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ketchup,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ketchup,Hypertension,Avoid,High in sodium,Blood Pressure,"Recommended instead: Oats, Olive oil, Arugula"
Ketchup,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ketchup,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ketchup,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Kiwi,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Strawberry, Blackberry, Oats"
Kiwi,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Kiwi,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Kiwi,Kidney Disease,Avoid,High in potassium,Potassium,Consult nutritionist for alternatives
Kiwi,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Kiwi,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Kohlrabi,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Kohlrabi,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Kohlrabi,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Kohlrabi,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Kohlrabi,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Kohlrabi,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ladyfinger (Okra/Bhindi),Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ladyfinger (Okra/Bhindi),Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ladyfinger (Okra/Bhindi),Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ladyfinger (Okra/Bhindi),Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Ladyfinger (Okra/Bhindi),Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Ladyfinger (Okra/Bhindi),Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Leek,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Leek,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Leek,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Leek,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Leek,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Leek,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Lettuce,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Lettuce,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Lettuce,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Lettuce,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Lettuce,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Lettuce,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Loganberry,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Raspberry, Wild rice, Pear"
Loganberry,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Loganberry,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Loganberry,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Loganberry,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Loganberry,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Longan,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Broken wheat (Dalia), Amaranth, Apple"
Longan,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Longan,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Longan,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Longan,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Longan,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Lychee,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Buckwheat, Pear, Guava"
Lychee,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Lychee,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Lychee,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Lychee,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Lychee,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Macadamia nut,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Macadamia nut,Heart Disease,Good,Rich in healthy fats,LDL,This food is recommended for this condition
Macadamia nut,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Macadamia nut,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Macadamia nut,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Macadamia nut,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mango,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Blueberry, Raspberry, Wild rice"
Mango,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mango,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mango,Kidney Disease,Avoid,High in potassium,Potassium,Consult nutritionist for alternatives
Mango,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mango,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mayonnaise,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mayonnaise,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mayonnaise,Hypertension,Avoid,High in sodium,Blood Pressure,"Recommended instead: Arugula, Olive oil, Kale"
Mayonnaise,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mayonnaise,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mayonnaise,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Milk,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Milk,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Milk,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Milk,Kidney Disease,Avoid,High in phosphorus/potassium,Potassium,Consult nutritionist for alternatives
Milk,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Milk,Thyroid Disorder,Good,Source of iodine,TSH,This food is recommended for this condition
Milkshakes,Diabetes,Avoid,Very high in sugar,Blood Glucose,"Recommended instead: Strawberry, Amaranth, Wild rice"
Milkshakes,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Milkshakes,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Milkshakes,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Milkshakes,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Artichoke, Onion, Yam"
Milkshakes,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Millet (Bajra),Diabetes,Avoid,"Refined carb, high GI",Blood Glucose,"Recommended instead: Guava, Wild rice, Pear"
Millet (Bajra),Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Millet (Bajra),Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Millet (Bajra),Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Millet (Bajra),Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Millet (Bajra),Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mint,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mint,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mint,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mint,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mint,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Mint,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Momos (steamed dumplings),Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Momos (steamed dumplings),Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Momos (steamed dumplings),Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Momos (steamed dumplings),Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Momos (steamed dumplings),Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Ridge gourd, Sweet potato, Kohlrabi"
Momos (steamed dumplings),Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Muesli,Diabetes,Avoid,"Refined carb, high GI",Blood Glucose,"Recommended instead: Amaranth, Strawberry, Freekeh"
Muesli,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Muesli,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Muesli,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Muesli,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Muesli,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Muffin,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Muffin,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Muffin,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Muffin,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Muffin,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Beetroot, Lettuce, Pumpkin"
Muffin,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mulberry,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Quinoa, Farro, Teff"
Mulberry,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mulberry,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mulberry,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mulberry,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mulberry,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mushrooms,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mushrooms,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mushrooms,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mushrooms,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mushrooms,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Mushrooms,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mustard greens,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mustard greens,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mustard greens,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mustard greens,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mustard greens,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Mustard greens,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mustard sauce,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mustard sauce,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mustard sauce,Hypertension,Avoid,High in sodium,Blood Pressure,"Recommended instead: Garlic, Salmon, Spinach"
Mustard sauce,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mustard sauce,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Mustard sauce,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Nachos,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Nachos,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Nachos,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Nachos,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Nachos,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Quinoa, Mushrooms, Sweet potato"
Nachos,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Oats,Diabetes,Good,Rich in soluble fiber,Blood Glucose,This food is recommended for this condition
Oats,Heart Disease,Good,Lowers LDL cholesterol,LDL,This food is recommended for this condition
Oats,Hypertension,Good,Beta-glucans improve vascular health,Blood Pressure,This food is recommended for this condition
Oats,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Oats,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Oats,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Olive oil,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Olive oil,Heart Disease,Good,Rich in monounsaturated fats,LDL,This food is recommended for this condition
Olive oil,Hypertension,Good,Polyphenols improve vessel function,Blood Pressure,This food is recommended for this condition
Olive oil,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Olive oil,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Olive oil,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Olives,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Barley, Quinoa, Raspberry"
Olives,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Olives,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Olives,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Olives,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Olives,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Onion,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Onion,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Onion,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Onion,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Onion,Obesity,Good,"Low calorie, high in nutrients",BMI,This food is recommended for this condition
Onion,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Onion rings,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Onion rings,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Onion rings,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Onion rings,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Onion rings,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Zucchini, Yogurt, Potato"
Onion rings,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Orange,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Strawberry, Oats, Apple"
Orange,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Orange,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Orange,Kidney Disease,Avoid,High in potassium,Potassium,Consult nutritionist for alternatives
Orange,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Orange,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pakora,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pakora,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pakora,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pakora,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pakora,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Radish, Artichoke, Ginger"
Pakora,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Paneer,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Paneer,Heart Disease,Avoid,High in saturated fat,LDL,"Recommended instead: Cashew, Salmon, Olive oil"
Paneer,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Paneer,Kidney Disease,Avoid,High in phosphorus,Potassium,Consult nutritionist for alternatives
Paneer,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Paneer,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Papaya,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Buckwheat, Brown rice, Spelt"
Papaya,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Papaya,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Papaya,Kidney Disease,Avoid,High in potassium,Potassium,Consult nutritionist for alternatives
Papaya,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Papaya,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Passion fruit,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Apple, Brown rice, Amaranth"
Passion fruit,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Passion fruit,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Passion fruit,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Passion fruit,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Passion fruit,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pasta (quick-serve),Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pasta (quick-serve),Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pasta (quick-serve),Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pasta (quick-serve),Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pasta (quick-serve),Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Mint, Swiss chard, Bitter gourd"
Pasta (quick-serve),Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pastry,Diabetes,Avoid,Very high in sugar,Blood Glucose,"Recommended instead: Pear, Blackberry, Strawberry"
Pastry,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pastry,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pastry,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pastry,Obesity,Avoid,"High in calories, fats, and/or sugar",BMI,"Recommended instead: Onion, Bell pepper (Capsicum), Leek"
Pastry,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Peach,Diabetes,Avoid,High in natural sugars,Blood Glucose,"Recommended instead: Farro, Barley, Wild rice"
Peach,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Peach,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Peach,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Peach,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Peach,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Peanut butter,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Peanut butter,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Peanut butter,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Peanut butter,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Peanut butter,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Peanut butter,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pear,Diabetes,Good,"High fiber, lower GI",Blood Glucose,This food is recommended for this condition
Pear,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pear,Hypertension,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pear,Kidney Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pear,Obesity,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Pear,Thyroid Disorder,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Peas,Diabetes,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
Peas,Heart Disease,Neutral,No direct established impact on this condition,N/A,Consume in moderation as part of a balanced diet
